stop_id,stop_name,stop_lat,stop_lon
M_R_1,Kempapura,13.04363882,77.60083777
M_R_2,Veterinary College,13.02902213,77.5863971
M_R_3,Gangenahalli,13.02264004,77.58456715
M_R_4,Mekhri Circle,13.01340873,77.58410721
M_R_5,Palace Guttahalli,12.99901379,77.58425815
M_R_6,Cunningham Rd,12.98952739,77.58588535
M_R_7,Basaveshwara Circle,12.98503262,77.58859738
M_R_8,Central College,12.97331246,77.5812718
M_R_9,Town Hall,12.96409138,77.58556419
M_R_10,Wilson Garden,12.95125424,77.59146374
M_R_11,Nimhans,12.93999687,77.59771577
M_R_12,Dairy Circle,12.93713957,77.60242822
M_R_13,Sudduguntepalya,12.93474809,77.6097713
M_R_14,St John's Hospital,12.92931998,77.61634503
M_R_15,Koramangala,12.92693222,77.62247464
M_R_16,Jakkasandra,12.92518051,77.63550729
M_R_17,Agara,12.92471197,77.64955581
M_R_18,Ibbalur,12.92009515,77.66650129
M_R_19,Bellandur Gate,12.91778945,77.67174859
M_R_20,Kaikondrahalli,12.91111838,77.68366181
M_R_21,Doddakanalli Gate,12.9063848,77.69858894
M_R_22,Carmelaram,12.90367469,77.70371692
M_R_23,Ambedkar Nagar,12.90039584,77.71077253
M_R_24,Kodati,12.896714,77.72017119
M_R_25,Sulikunte,12.8936145,77.72668061
M_R_26,Muthanallur Crs,12.88740503,77.73863504
M_R_27,Dommasandra Circle,12.88310465,77.752964
M_R_28,Sompura,12.87140983,77.76660064
M_R_29,Sarjapura,12.86120495,77.78498589
M_B_1,Silkboard,12.91778711,77.62307682
M_B_2,HSR Layout,12.91619156,77.63554151
M_B_3,Agara,12.92414998,77.65040966
M_B_4,Ibbalur,12.92109056,77.66676445
M_B_5,Bellandur,12.92829791,77.68204076
M_B_6,Kadubeesanahalli,12.94027516,77.69548494
M_B_7,Kodibisanahalli,12.94488284,77.69780901
M_B_8,Marathahalli,12.95674402,77.70095281
M_B_9,ISRO,12.9641885,77.7018671
M_B_10,Doddanekundi,12.97229958,77.69897442
M_B_11,DRDO Sports Complex,12.98469484,77.69118354
M_B_12,Sarasvathi Nagara (previously Mahadevapura),12.98994925,77.68819674
M_B_13,KR Puram,12.99992015,77.67794184
M_B_14,Kasturinagara,13.0038807,77.66308875
M_B_15,channasandra,13.01119601,77.66227334
M_B_16,Horamavu,13.01889539,77.65575325
M_B_17,HRBR Layout,13.02200393,77.64840377
M_B_18,Kalyan Nagara,13.02428378,77.64315288
M_B_19,HBR Layout,13.02743253,77.6332208
M_B_20,Nagawara,13.03992341,77.62428491
M_B_21,Veerannapalya,13.04119735,77.61571483
M_B_22,Kempapura,13.04361467,77.60091636
M_B_23,Hebbala,13.04218449,77.59376496
M_B_24,Kodigehalli,13.05692818,77.59392087
M_B_25,Jakkuru Cross,13.07991244,77.59299905
M_B_26,Yelahanka,13.11516514,77.60704533
M_B_27,Bagaluru Cross,13.12198553,77.61060774
M_B_28,Bettahalasuru,13.16121018,77.62666323
M_B_29,Doddajala,13.19740315,77.65545374
M_B_30,Trumpet junction,13.19997596,77.65934359
M_B_31,KIA west,13.19828642,77.66730577
M_B_32,Airport city,13.19816485,77.6798727
M_B_33,KIAL terminal,13.19782994,77.71234609
M_Pi_1,Kalena Agrahara (formerly Gottigere),12.87184575,77.59377286
M_Pi_2,Hulimavu,12.88094619,77.59576818
M_Pi_3,IIM-Bangalore,12.89528757,77.59951401
M_Pi_4,Jaya Prakash Nagara Phase 4,12.90724734,77.60052624
M_Pi_5,Jayadeva Hospital,12.91629662,77.59998127
M_Pi_6,Swagath Road Cross,12.92913691,77.60053357
M_Pi_7,Dairy Circle,12.9342414,77.60119221
M_Pi_8,Lakkasandra (foremerly Mico Industries),12.94955972,77.60304352
M_Pi_9,Langford Town,12.95584633,77.60537013
M_Pi_10,Rashtriya Military School (formerly Vellara Road),12.96474789,77.607026
M_Pi_11,MG Road,12.9755939,77.60666993
M_Pi_12,Shivaji Nagar,12.98344506,77.60204047
M_Pi_13,Cantonment,12.99398984,77.59802398
M_Pi_14,Pottery Town,13.00044297,77.60934346
M_Pi_15,Tannery Road,13.00970212,77.61409245
M_Pi_16,Venkateshpura,13.01751969,77.61789915
M_Pi_17,Kadugundanahalli (formerly Arabic College),13.0298425,77.62066698
M_Pi_18,Nagawara,13.03992341,77.62428491
